Station Name,ZIP,Latitude,Longitude,ID
Tri-Cities Nissan,37601,36.374198,-82.372119,39811
Wallace Nissan Oldsmobile,37660,36.551978,-82.487762,39812
Ted Russell Nissan,37919,35.920587,-84.067881,39813
Rusty Wallace Nissan,37912,35.999617,-83.969451,39814
Nissan of Rivergate,37115,36.29062,-86.7051,39815
Roberts Nissan,37355,35.454702,-86.041805,39816
Weakley County Motors,38237,36.369277,-88.849653,39817
AutoNation Nissan - Memphis,38125,35.0353,-89.795859,39818
Jim Keras Nissan,38128,35.181031,-89.895533,39819
East Tennessee Nissan,37814,36.18226,-83.382387,39820
Nissan of Murfreesboro,37129,35.854156,-86.394979,39821
Action Nissan,37211,36.110606,-86.743585,39822
Downtown Nashville Nissan,37228,36.191053,-86.793132,39823
Carr Nissan,97005,45.491783,-122.81107,39827
Lithia Nissan of Bend,97701,44.055213,-121.277279,39828
Kiefer Nissan,97330,44.572608,-123.258425,39830
Lithia Nissan of Eugene,97401,44.05902085,-123.0813975,39831
Dick Hannah Nissan,97027,45.378967,-122.603899,39832
Chuck Colvin Nissan,97128,45.227394,-123.180863,39836
Lithia Nissan,97504,42.379969,-122.858192,39837
Rustom Nissan - Portland,97230,45.531759,-122.537403,39838
Power Nissan - Salem,97302,44.921582,-123.006236,39839
Ray Schultens Nissan,97058,45.613979,-121.20996,39840
Tonkin Nissan,97070,45.326814,-122.770853,39841
Dick Smith Nissan,29210,34.055164,-81.128164,39842
Dick Smith Nissan,29072,33.997902,-81.222504,39844
Twin City Nissan,37701,35.830725,-83.974822,39845
Wolfchase Nissan,38133,35.205818,-89.791337,39846
Bill Gatton Nissan,37620,36.54282,-82.2354,39847
Nissan of Chattanooga East,37421,35.056433,-85.190515,39848
Benton Nissan - Hoover,35216,33.394903,-86.807186,39849
Matt Bowers Nissan Eastern Shore,36526,30.660697,-87.858464,39850
Lynn Layton Cad-Nissan,35601,34.563857,-86.972193,39851
Jack Ingram Motors,36117,32.376832,-86.208559,39852
Avondale Nissan,85323,33.459826,-112.284168,39853
AutoNation Nissan - Chandler,85286,33.286316,-111.791107,39854
Anderson Nissan,86404,34.54217,-114.35287,39855
East Valley Nissan,85206,33.385361,-111.695062,39856
Larry H Miller Nissan - Mesa,85201,33.434313,-111.872266,39857
Peoria Nissan,85382,33.636921,-112.253682,39858
ABC Nissan,85014,33.509862,-112.054162,39859
Coulter Nissan,85388,33.605183,-112.420442,39860
Midway Nissan,85023,33.639038,-112.108088,39861
Pinnacle Nissan,85260,33.635224,-111.915739,39862
AutoNation Nissan - Tempe,85284,33.346812,-111.967793,39863
Jim Click Nissan,85705,32.289823,-110.985646,39864
Thoroughbred Nissan,85711,32.207374,-110.881798,39865
Antioch Nissan,94509,38.007799,-121.832042,39870
Nissan of Bakersfield,93313,35.310723,-119.035324,39871
Buena Park Nissan,90621,33.865497,-117.995215,39872
Carson Nissan,90745,33.824968,-118.245675,39873
Palm Springs Nissan,92234,33.78414,-116.471,39874
Cerritos Nissan,90703,33.861544,-118.100471,39875
Chico Nissan,95926,39.756332,-121.843715,39876
Puente Hills Nissan,91748,33.997621,-117.928216,39877
Lithia Nissan - Clovis,93612,36.836818,-119.717629,39878
Nissan of Serramonte,94014,37.671267,-122.463541,39879
Autocom Nissan - Concord,94520,37.980192,-122.050128,39880
Larry H Miller Nissan,92882,33.88309,-117.615292,39881
Orange Coast Nissan,92626,33.675397,-117.918684,39882
Hanlees Nissan,95618,38.55252,-121.691555,39883
Downey Nissan,90241,33.9473,-118.151166,39884
Nissan of Duarte,91010,34.136553,-117.975944,39885
Mossy Nissan - El Cajon,92020,32.795896,-116.976156,39886
Ross Nissan of El Monte,91731,34.069536,-118.026911,39887
Nissan of Elk Grove,95757,38.402217,-121.385527,39888
Mossy Nissan - Escondido,92029,33.116492,-117.106837,39889
McCrea Nissan,95501,40.800562,-124.164405,39890
Future Nissan of Folsom,95630,38.634132,-121.204871,39891
Fontana Nissan,92336,34.135345,-117.445732,39892
Premier Nissan of Fremont,94538,37.489389,-121.9576,39893
Lithia Nissan - Fresno,93710,36.818622,-119.789796,39894
Imperio Nissan of Garden Grove,92844,33.766376,-117.968337,39895
Gardena Nissan,90247,33.889201,-118.307028,39896
South County Nissan,95020,36.996869,-121.558573,39897
Glendale Nissan,91204,34.137054,-118.25536,39898
Santa Barbara Nissan,93117,34.43427,-119.820934,39899
Hayward Nissan,94544,37.662305,-122.075178,39901
Pedder Nissan,92545,33.741163,-117.031718,39902
Surf City Nissan,92647,33.71069,-117.989861,39903
Nissan of Irvine,92618,33.632505,-117.723298,39904
Torre Nissan,92253,33.70711,-116.283712,39905
Nissan of Downtown Los Angeles,90015,34.035168,-118.273229,39906
Universal City Nissan,90068,34.133446,-118.356601,39907
Razzari Nissan,95340,37.305891,-120.502428,39908
Nissan of Mission Hills,91345,34.269809,-118.466606,39910
Central Valley Nissan,95356,37.705119,-120.99471,39911
Metro Nissan of Montclair,91763,34.082404,-117.694876,39912
Metro Nissan of Redlands,92374,34.065387,-117.212007,39913
Napa Nissan,94559,38.292706,-122.277767,39914
Mossy Nissan,91950,32.659001,-117.100836,39915
Mossy Nissan - Oceanside,92056,33.181953,-117.298334,39916
Stadium Nissan,92867,33.80857,-117.864434,39917
Team Nissan,93036,34.22771,-119.150217,39918
Antelope Valley Nissan,93551,34.591173,-118.138184,39919
North Bay Nissan,94952,38.267202,-122.665068,39920
Mossy Nissan - Poway,92064,32.956772,-117.025943,39921
Crown Nissan,96002,40.571632,-122.36654,39922
Boardwalk Nissan,94063,37.495963,-122.227322,39923
Hanlees Hilltop Nissan,94806,37.985253,-122.32124,39925
Raceway Nissan,92507,33.941878,-117.297603,39926
Riverside Nissan,92504,33.925469,-117.419673,39927
Future Nissan,95661,38.752198,-121.256452,39928
Nissan of Sacramento,95821,38.631393,-121.396604,39929
My Nissan,93907,36.720023,-121.662519,39930
Larry H Miller Nissan - San Bernardino,92408,34.074378,-117.298,39931
Mossy Nissan - Kearny Mesa,92111,32.833179,-117.147384,39932
Pacific Nissan,92109,32.802475,-117.215269,39933
Nissan Sunnyvale,94087,37.359362,-122.022783,39934
Premier Nissan,95136,37.275144,-121.877656,39935
Nissan - San Juan Capistrano,92675,33.47443,-117.676142,39936
San Leandro Nissan,94577,37.712609,-122.162746,39937
Coast Nissan,93405,35.25062,-120.68455,39938
Stevens Creek Nissan,95051,37.323569,-121.988027,39939
Jim Bone Nissan,95404,38.425537,-122.714089,39943
Cardinale Nissan,93955,36.611189,-121.849899,39944
Nissan of Van Nuys,91401,34.168824,-118.449059,39945
First Nissan,93065,34.277324,-118.778957,39947
Nissan of Stockton,95212,38.022022,-121.275339,39948
